"filename", "language", "C++", "CMake", "Markdown", "YAML", "HTML", "JSON", "Dart", "Swift", "Gradle", "Properties", "XML", "comment", "blank", "total"
"d:\final project\Graduation-Project\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\final project\Graduation-Project\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\final project\Graduation-Project\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 8, 9, 62
"d:\final project\Graduation-Project\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\final project\Graduation-Project\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"d:\final project\Graduation-Project\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 11, 2, 49
"d:\final project\Graduation-Project\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\final project\Graduation-Project\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\final project\Graduation-Project\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\final project\Graduation-Project\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\final project\Graduation-Project\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 1, 8
"d:\final project\Graduation-Project\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\final project\Graduation-Project\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\final project\Graduation-Project\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\final project\Graduation-Project\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 5, 29
"d:\final project\Graduation-Project\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\final project\Graduation-Project\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\final project\Graduation-Project\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\final project\Graduation-Project\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\final project\Graduation-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 1, 38
"d:\final project\Graduation-Project\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\final project\Graduation-Project\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\final project\Graduation-Project\lib\Logo\splashScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 8, 62
