Date : 2024-10-29 02:59:55
Directory : d:\final project\Graduation-Project
Total : 116 files,  13034 codes, 754 comments, 1023 blanks, all 14811 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         60 |     11,020 |        473 |        653 |     12,146 |
| C++        |         16 |        556 |        127 |        188 |        871 |
| XML        |         10 |        472 |         53 |         13 |        538 |
| CMake      |          7 |        459 |          0 |         89 |        548 |
| JSON       |          6 |        278 |          0 |          4 |        282 |
| Gradle     |          3 |         83 |         10 |         17 |        110 |
| Swift      |          6 |         66 |          7 |         20 |         93 |
| YAML       |          3 |         60 |         69 |         23 |        152 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        116 |     13,034 |        754 |      1,023 |     14,811 |
| . (Files)                                                                                         |          5 |         71 |         69 |         30 |        170 |
| android                                                                                           |         13 |        188 |         61 |         29 |        278 |
| android (Files)                                                                                   |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                       |          9 |        142 |         59 |         19 |        220 |
| android\app (Files)                                                                               |          2 |         74 |          8 |          9 |         91 |
| android\app\src                                                                                   |          7 |         68 |         51 |         10 |        129 |
| android\app\src\debug                                                                             |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                              |          5 |         62 |         43 |          8 |        113 |
| android\app\src\main (Files)                                                                      |          1 |         36 |         11 |          2 |         49 |
| android\app\src\main\res                                                                          |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                            |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                               |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                   |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                               |         59 |     11,006 |        463 |        646 |     12,115 |
| lib (Files)                                                                                       |          3 |        281 |         31 |         21 |        333 |
| lib\Logo                                                                                          |          1 |         51 |          3 |          8 |         62 |
| lib\Registeration                                                                                 |          7 |      1,617 |         48 |        112 |      1,777 |
| lib\components                                                                                    |          4 |        502 |         17 |         21 |        540 |
| lib\constant                                                                                      |          2 |          9 |          0 |          4 |         13 |
| lib\views                                                                                         |         42 |      8,546 |        364 |        480 |      9,390 |
| lib\views (Files)                                                                                 |         15 |      4,163 |        192 |        193 |      4,548 |
| lib\views\ConatctUspage                                                                           |          1 |        205 |          3 |         11 |        219 |
| lib\views\DeleteAccountPage                                                                       |          1 |        251 |          3 |          7 |        261 |
| lib\views\DepressionOrBipolarTest                                                                 |          4 |      1,094 |         69 |         48 |      1,211 |
| lib\views\LoginActivityPage                                                                       |          2 |        233 |          5 |         16 |        254 |
| lib\views\LoginActivityPage (Files)                                                               |          1 |        180 |          5 |         11 |        196 |
| lib\views\LoginActivityPage\component                                                             |          1 |         53 |          0 |          5 |         58 |
| lib\views\PreviosTestPage                                                                         |          2 |        251 |          8 |         17 |        276 |
| lib\views\PreviosTestPage (Files)                                                                 |          1 |        174 |          8 |         13 |        195 |
| lib\views\PreviosTestPage\component                                                               |          1 |         77 |          0 |          4 |         81 |
| lib\views\PrivacySettingPage                                                                      |          1 |        272 |         12 |          3 |        287 |
| lib\views\firebase_notifications                                                                  |          1 |         94 |         14 |         20 |        128 |
| lib\views\journalPages                                                                            |          6 |      1,195 |         43 |         91 |      1,329 |
| lib\views\journalPages (Files)                                                                    |          4 |      1,095 |         31 |         82 |      1,208 |
| lib\views\journalPages\widgets                                                                    |          2 |        100 |         12 |          9 |        121 |
| lib\views\models                                                                                  |          1 |          5 |          0 |          2 |          7 |
| lib\views\notifications                                                                           |          1 |        278 |          7 |         15 |        300 |
| lib\views\requestdata                                                                             |          1 |        241 |          1 |          9 |        251 |
| lib\views\splashfile                                                                              |          3 |         94 |          5 |         24 |        123 |
| lib\views\widgets                                                                                 |          3 |        170 |          2 |         24 |        196 |
| linux                                                                                             |          8 |        327 |         33 |         88 |        448 |
| linux (Files)                                                                                     |          4 |        212 |         24 |         61 |        297 |
| linux\flutter                                                                                     |          4 |        115 |          9 |         27 |        151 |
| macos                                                                                             |          6 |        458 |          5 |         16 |        479 |
| macos\Flutter                                                                                     |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                      |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                              |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                 |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                           |          1 |        343 |          0 |          1 |        344 |
| test                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                               |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                           |         14 |        687 |         94 |        188 |        969 |
| windows (Files)                                                                                   |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                   |          4 |        136 |          9 |         29 |        174 |
| windows\runner                                                                                    |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\final project\Graduation-Project\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| d:\final project\Graduation-Project\analysis_options.yaml                                         | YAML       |          3 |         22 |          4 |         29 |
| d:\final project\Graduation-Project\android\app\build.gradle                                      | Gradle     |         45 |          8 |          9 |         62 |
| d:\final project\Graduation-Project\android\app\google-services.json                              | JSON       |         29 |          0 |          0 |         29 |
| d:\final project\Graduation-Project\android\app\src\debug\AndroidManifest.xml                     | XML        |          3 |          4 |          1 |          8 |
| d:\final project\Graduation-Project\android\app\src\main\AndroidManifest.xml                      | XML        |         36 |         11 |          2 |         49 |
| d:\final project\Graduation-Project\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| d:\final project\Graduation-Project\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| d:\final project\Graduation-Project\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| d:\final project\Graduation-Project\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| d:\final project\Graduation-Project\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| d:\final project\Graduation-Project\android\build.gradle                                          | Gradle     |         16 |          0 |          3 |         19 |
| d:\final project\Graduation-Project\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| d:\final project\Graduation-Project\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| d:\final project\Graduation-Project\android\settings.gradle                                       | Gradle     |         22 |          2 |          5 |         29 |
| d:\final project\Graduation-Project\devtools_options.yaml                                         | YAML       |          3 |          0 |          1 |          4 |
| d:\final project\Graduation-Project\firebase.json                                                 | JSON       |          1 |          0 |          0 |          1 |
| d:\final project\Graduation-Project\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| d:\final project\Graduation-Project\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| d:\final project\Graduation-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| d:\final project\Graduation-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| d:\final project\Graduation-Project\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| d:\final project\Graduation-Project\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| d:\final project\Graduation-Project\lib\Logo\splashScreen.dart                                    | Dart       |         51 |          3 |          8 |         62 |
| d:\final project\Graduation-Project\lib\Registeration\auth_service.dart                           | Dart       |         47 |          8 |         18 |         73 |
| d:\final project\Graduation-Project\lib\Registeration\forgetpassword.dart                         | Dart       |        224 |         10 |         19 |        253 |
| d:\final project\Graduation-Project\lib\Registeration\login.dart                                  | Dart       |        292 |          7 |         21 |        320 |
| d:\final project\Graduation-Project\lib\Registeration\newPassword.dart                            | Dart       |        257 |          2 |         17 |        276 |
| d:\final project\Graduation-Project\lib\Registeration\registeration.dart                          | Dart       |        200 |          1 |          5 |        206 |
| d:\final project\Graduation-Project\lib\Registeration\sign-up.dart                                | Dart       |        378 |         14 |         20 |        412 |
| d:\final project\Graduation-Project\lib\Registeration\verification.dart                           | Dart       |        219 |          6 |         12 |        237 |
| d:\final project\Graduation-Project\lib\components\ButtonBar.dart                                 | Dart       |        270 |          5 |         12 |        287 |
| d:\final project\Graduation-Project\lib\components\Ellipses.dart                                  | Dart       |         81 |          4 |          3 |         88 |
| d:\final project\Graduation-Project\lib\components\FAQCard.dart                                   | Dart       |         39 |          1 |          2 |         42 |
| d:\final project\Graduation-Project\lib\components\card.dart                                      | Dart       |        112 |          7 |          4 |        123 |
| d:\final project\Graduation-Project\lib\constant\Colors.dart                                      | Dart       |          5 |          0 |          4 |          9 |
| d:\final project\Graduation-Project\lib\constant\answers.dart                                     | Dart       |          4 |          0 |          0 |          4 |
| d:\final project\Graduation-Project\lib\firebase_options.dart                                     | Dart       |         68 |         12 |          7 |         87 |
| d:\final project\Graduation-Project\lib\home.dart                                                 | Dart       |        187 |          7 |          5 |        199 |
| d:\final project\Graduation-Project\lib\main.dart                                                 | Dart       |         26 |         12 |          9 |         47 |
| d:\final project\Graduation-Project\lib\views\ConatctUspage\contactUsPage.dart                    | Dart       |        205 |          3 |         11 |        219 |
| d:\final project\Graduation-Project\lib\views\DeleteAccountPage\DeleteDataPage.dart               | Dart       |        251 |          3 |          7 |        261 |
| d:\final project\Graduation-Project\lib\views\DepOrBi_Test.dart                                   | Dart       |        142 |          2 |          4 |        148 |
| d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBi.dart                | Dart       |        601 |          5 |         17 |        623 |
| d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBilastpage.dart        | Dart       |        118 |         10 |         16 |        144 |
| d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\Result2DepOrBi.dart         | Dart       |        269 |         54 |         11 |        334 |
| d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\ResultDepOrBi.dart          | Dart       |        106 |          0 |          4 |        110 |
| d:\final project\Graduation-Project\lib\views\FAQPage.dart                                        | Dart       |        264 |          2 |         13 |        279 |
| d:\final project\Graduation-Project\lib\views\General_Test.dart                                   | Dart       |        141 |          1 |          4 |        146 |
| d:\final project\Graduation-Project\lib\views\InstructionScreen.dart                              | Dart       |        233 |          2 |          8 |        243 |
| d:\final project\Graduation-Project\lib\views\LoginActivityPage\LoginActivityPage.dart            | Dart       |        180 |          5 |         11 |        196 |
| d:\final project\Graduation-Project\lib\views\LoginActivityPage\component\PreviosLogInCard.dart   | Dart       |         53 |          0 |          5 |         58 |
| d:\final project\Graduation-Project\lib\views\PreviosTestPage\PreviousTestPage.dart               | Dart       |        174 |          8 |         13 |        195 |
| d:\final project\Graduation-Project\lib\views\PreviosTestPage\component\ResultCard.dart           | Dart       |         77 |          0 |          4 |         81 |
| d:\final project\Graduation-Project\lib\views\PrivacySettingPage\PrivacySettingPage.dart          | Dart       |        272 |         12 |          3 |        287 |
| d:\final project\Graduation-Project\lib\views\UserProfile.dart                                    | Dart       |        431 |         30 |          6 |        467 |
| d:\final project\Graduation-Project\lib\views\accountsetting.dart                                 | Dart       |        475 |         26 |         24 |        525 |
| d:\final project\Graduation-Project\lib\views\changepassword.dart                                 | Dart       |        251 |         11 |         21 |        283 |
| d:\final project\Graduation-Project\lib\views\confirmpasswordfordeleteaccount.dart                | Dart       |        228 |          2 |         15 |        245 |
| d:\final project\Graduation-Project\lib\views\edituserprofile.dart                                | Dart       |        497 |         17 |         26 |        540 |
| d:\final project\Graduation-Project\lib\views\firebase_notifications\firebase_notifications.dart  | Dart       |         94 |         14 |         20 |        128 |
| d:\final project\Graduation-Project\lib\views\generaltest.dart                                    | Dart       |        527 |         12 |         15 |        554 |
| d:\final project\Graduation-Project\lib\views\gentestlastpage.dart                                | Dart       |        122 |         12 |         15 |        149 |
| d:\final project\Graduation-Project\lib\views\getintouch.dart                                     | Dart       |        332 |         11 |         17 |        360 |
| d:\final project\Graduation-Project\lib\views\journalPages\journal1.dart                          | Dart       |        174 |          9 |         14 |        197 |
| d:\final project\Graduation-Project\lib\views\journalPages\journalPage.dart                       | Dart       |        378 |         12 |         17 |        407 |
| d:\final project\Graduation-Project\lib\views\journalPages\journalYearPage.dart                   | Dart       |        268 |          3 |         24 |        295 |
| d:\final project\Graduation-Project\lib\views\journalPages\updateandaskgemini.dart                | Dart       |        275 |          7 |         27 |        309 |
| d:\final project\Graduation-Project\lib\views\journalPages\widgets\JournalData.dart               | Dart       |         66 |          0 |          4 |         70 |
